Google Flu Trends weekly influenza activity estimates for the world
Copyright 2009 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row
Data for the current week will be updated each day until Saturday (Pacific Time)
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends)

Date,Australia,Austria,Belgium,Bulgaria,Canada,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Russia,Spain,Sweden,Switzerland,Ukraine,United States
2008-07-06,577,506,13,313,754,10,433,25,2,681,11,69,13,12,169,6,1,5,177,665
2008-07-13,632,522,10,293,617,9,436,25,2,712,10,88,14,11,154,7,1,9,168,638
2008-07-20,563,464,12,266,615,7,421,24,2,688,10,87,14,11,126,6,1,6,174,627
2008-07-27,524,422,12,266,561,7,352,25,2,698,8,76,12,10,124,6,1,3,181,634
2008-08-03,674,416,13,274,514,8,342,26,2,653,10,116,13,9,122,6,1,3,196,648
2008-08-10,771,390,11,273,608,8,348,27,2,633,10,145,14,9,136,6,1,2,214,684
2008-08-17,983,495,14,269,649,10,357,28,2,633,10,140,16,8,136,6,0,4,215,710
2008-08-24,1155,450,16,305,740,8,410,28,1,707,12,102,23,8,160,6,1,5,234,771
2008-08-31,1093,517,17,318,735,9,491,32,2,799,13,103,28,8,205,5,2,8,287,903
2008-09-07,746,570,25,348,916,15,587,37,2,865,18,73,33,9,243,6,2,12,324,1009
2008-09-14,543,641,37,345,1269,35,770,63,2,914,18,60,38,21,366,11,2,16,436,1114
2008-09-21,453,824,58,382,1575,62,873,84,2,953,18,54,37,68,401,15,3,24,536,1221
2008-09-28,345,967,69,564,1625,63,931,96,4,1022,20,38,31,65,416,31,3,20,516,1275
2008-10-05,272,944,68,742,1644,56,1041,91,6,1018,23,21,27,53,368,34,3,18,469,1334
2008-10-12,217,886,68,793,1659,69,1012,93,7,1035,23,22,29,46,360,28,4,27,490,1404
2008-10-19,184,851,69,787,1699,68,1010,89,10,1101,22,17,30,45,359,25,3,27,457,1543
2008-10-26,186,861,55,735,1629,57,945,83,14,1142,22,16,36,43,349,26,3,29,450,1659
2008-11-02,166,803,83,753,1729,46,987,67,18,1241,25,13,40,39,372,26,3,42,452,1747
2008-11-09,159,858,74,663,1777,52,1016,77,32,1254,26,13,34,36,377,35,3,48,507,1953
2008-11-16,124,849,92,674,1810,54,1060,88,51,1285,28,12,32,37,401,32,4,52,496,2194
2008-11-23,160,919,103,665,1859,77,1088,125,56,1297,31,8,38,43,398,30,4,47,476,1969
2008-11-30,115,882,104,671,1880,96,1081,99,101,1376,36,5,52,61,390,36,4,56,429,2045
2008-12-07,94,927,133,730,1992,151,1263,116,155,1471,44,7,56,71,435,50,7,65,417,1938
2008-12-14,87,1086,117,694,2036,266,1557,122,260,1535,51,7,97,67,453,86,7,91,427,1870
2008-12-21,96,1085,104,664,1966,400,1571,105,328,1450,70,7,134,71,379,222,9,120,441,1942
2008-12-28,102,1384,153,746,2765,628,2024,151,323,1424,96,8,235,100,424,467,15,270,407,2100
